文物采样点,SiO2,Na2O,K2O,CaO,MgO,Al2O3,Fe2O3,CuO,PbO,BaO,P2O5,SrO,SnO2,SO2,文物编号,采样类型,纹饰,类型,颜色,表面风化,成分总和,有效数据,SiO2_norm,Na2O_norm,K2O_norm,CaO_norm,MgO_norm,Al2O3_norm,Fe2O3_norm,CuO_norm,PbO_norm,BaO_norm,P2O5_norm,SrO_norm,SnO2_norm,SO2_norm
08严重风化点,4.61,0.0,0.0,3.19,0.0,1.11,0.0,3.14,32.45,30.62,7.56,0.53,0.0,15.03,08,严重风化,C,铅钡,紫,风化,98.24000000000001,True,4.692589576547231,0.0,0.0,3.24714983713355,0.0,1.129885993485342,0.0,3.196254071661238,33.031351791530945,31.1685667752443,7.69543973941368,0.5394951140065146,0.0,15.299267100977195
09,95.02,0.0,0.59,0.62,0.0,1.32,0.32,1.55,0.0,0.0,0.35,0.0,0.0,0.0,09,普通采样,B,高钾,蓝绿,风化,99.76999999999998,True,95.23904981457353,0.0,0.5913601282950788,0.6214292873609303,0.0,1.3230429988974646,0.3207376967024156,1.5535732184023257,0.0,0.0,0.35080685576826703,0.0,0.0,0.0
10,96.77,0.0,0.92,0.21,0.0,0.81,0.26,0.84,0.0,0.0,0.0,0.0,0.0,0.0,10,普通采样,B,高钾,蓝绿,风化,99.80999999999999,True,96.95421300470896,0.0,0.9217513275222924,0.21039975954313195,0.0,0.8115419296663663,0.2604949403867349,0.8415990381725278,0.0,0.0,0.0,0.0,0.0,0.0
11,33.59,0.0,0.21,3.51,0.71,2.69,0.0,4.93,25.39,14.61,9.38,0.37,0.0,0.0,11,普通采样,C,铅钡,浅蓝,风化,95.39,True,35.21333473110389,0.0,0.22014886256421007,3.679630988573226,0.7443128210504245,2.820002096655834,0.0,5.168256630674074,26.617045811929973,15.316070866967188,9.833315861201385,0.38788132927979874,0.0,0.0
12,94.29,0.0,1.01,0.72,0.0,1.46,0.29,1.65,0.0,0.0,0.15,0.0,0.0,0.0,12,普通采样,B,高钾,蓝绿,风化,99.57000000000002,True,94.6971979511901,0.0,1.0143617555488598,0.7231093702922565,0.0,1.46630511198152,0.2912523852566033,1.657125640253088,0.0,0.0,0.15064778547755345,0.0,0.0,0.0
13,59.01,2.86,12.53,8.7,0.0,6.16,2.88,4.73,0.0,0.0,1.27,0.0,0.0,0.0,13,普通采样,C,高钾,浅蓝,无风化,98.13999999999999,True,60.128388017118404,2.9142041980843696,12.76747503566334,8.864886896270633,0.0,6.276747503566335,2.934583248420624,4.819645404524151,0.0,0.0,1.2940696963521503,0.0,0.0,0.0
14,62.47,3.38,12.28,8.23,0.66,9.23,0.5,0.47,1.62,0.0,0.16,0.0,0.0,0.0,14,普通采样,C,高钾,深绿,无风化,98.99999999999999,True,63.10101010101011,3.414141414141415,12.404040404040405,8.313131313131315,0.6666666666666667,9.323232323232325,0.5050505050505051,0.47474747474747475,1.636363636363637,0.0,0.16161616161616163,0.0,0.0,0.0
15,61.87,3.21,7.44,0.0,1.02,3.15,1.04,1.29,0.19,0.0,0.26,0.0,0.0,0.0,15,普通采样,C,高钾,浅蓝,无风化,79.47,False,,,,,,,,,,,,,,
16,65.18,2.1,14.52,8.27,0.52,6.18,0.42,1.07,0.11,0.0,0.0,0.04,0.0,0.0,16,普通采样,C,高钾,浅蓝,无风化,98.41,True,66.23310639162688,2.1339294787115133,14.754598109948175,8.403617518544863,0.5284015852047557,6.279849608779596,0.42678589574230263,1.0872878772482473,0.11177725840869832,0.0,0.0,0.04064627578498121,0.0,0.0
17,60.71,2.12,5.71,0.0,0.85,0.0,1.04,1.09,0.19,0.0,0.18,0.0,0.0,0.0,17,普通采样,C,高钾,浅蓝,无风化,71.89,False,,,,,,,,,,,,,,
18,79.46,0.0,9.42,0.0,1.53,3.05,0.0,0.0,0.0,0.0,1.36,0.07,2.36,0.0,18,普通采样,A,高钾,深蓝,无风化,97.24999999999999,True,81.706940874036,0.0,9.686375321336763,0.0,1.5732647814910028,3.1362467866323915,0.0,0.0,0.0,0.0,1.3984575835475581,0.07197943444730079,2.426735218508998,0.0
19,29.64,0.0,0.0,2.93,0.59,3.57,1.33,3.51,42.82,5.35,8.83,0.19,0.0,0.0,19,普通采样,A,铅钡,,风化,98.75999999999999,True,30.012150668286758,0.0,0.0,2.966788173349535,0.5974078574321587,3.614823815309842,1.346699068448765,3.5540704738760636,43.357634669906844,5.4171729445119485,8.940866747671123,0.19238558120696642,0.0,0.0
20,37.36,0.0,0.71,0.0,0.0,5.45,1.51,4.78,9.3,23.55,5.75,0.0,0.0,0.0,20,普通采样,A,铅钡,浅蓝,无风化,88.41,True,42.25766316027599,0.0,0.8030765750480715,0.0,0.0,6.164461033819705,1.7079515891867438,5.4066282094785665,10.519172039362063,26.63725822870716,6.503789164121707,0.0,0.0,0.0
21,76.68,0.0,0.0,4.71,1.22,6.19,2.37,3.28,1.0,1.97,1.1,0.0,0.0,0.0,21,普通采样,A,高钾,蓝绿,无风化,98.52,True,77.83191230207066,0.0,0.0,4.780755176613885,1.2383272431993504,6.282988225740967,2.405602923264312,3.329273244011368,1.0150223304912709,1.9995939910678033,1.116524563540398,0.0,0.0,0.0
22,92.35,0.0,0.74,1.66,0.64,3.5,0.35,0.55,0.0,0.0,0.21,0.0,0.0,0.0,22,普通采样,B,高钾,蓝绿,风化,100.0,True,92.35,0.0,0.74,1.66,0.64,3.5000000000000004,0.35,0.55,0.0,0.0,0.21,0.0,0.0,0.0
23未风化点,53.79,7.92,0.0,0.5,0.71,1.42,0.0,2.99,16.98,11.86,0.0,0.33,0.0,0.0,23,未风化,A,铅钡,蓝绿,风化,96.5,True,55.74093264248705,8.207253886010363,0.0,0.5181347150259068,0.7357512953367875,1.471502590673575,0.0,3.098445595854922,17.595854922279795,12.290155440414507,0.0,0.3419689119170985,0.0,0.0
24,31.94,0.0,0.0,0.47,0.0,1.59,0.0,8.46,29.14,26.23,0.14,0.91,0.0,0.0,24,普通采样,C,铅钡,紫,无风化,98.88000000000001,True,32.30177993527508,0.0,0.0,0.4753236245954692,0.0,1.608009708737864,0.0,8.555825242718447,29.470064724919094,26.527103559870547,0.14158576051779936,0.9203074433656958,0.0,0.0
25未风化点,50.61,2.31,0.0,0.63,0.0,1.9,1.55,1.12,31.9,6.65,0.19,0.2,0.0,0.0,25,未风化,C,铅钡,浅蓝,风化,97.06000000000002,True,52.14300432722027,2.3799711518648254,0.0,0.6490830414176797,0.0,1.9575520296723672,1.5969503399958789,1.153925406964764,32.866268287657114,6.851432103853286,0.19575520296723675,0.206058108386565,0.0,0.0
26,19.79,0.0,0.0,1.44,0.0,0.7,0.0,10.57,29.53,32.25,3.13,0.45,0.0,1.96,26,普通采样,C,铅钡,紫,风化,99.82,True,19.8256862352234,0.0,0.0,1.442596674013224,0.0,0.7012622720897616,0.0,10.589060308555402,29.583249849729516,32.30815467842116,3.135644159487077,0.4508114606291325,0.0,1.9635343618513323
26严重风化点,3.72,0.0,0.4,3.01,0.0,1.18,0.0,3.6,29.92,35.45,6.04,0.62,0.0,15.95,26,严重风化,C,铅钡,紫,风化,99.89000000000001,True,3.7240965061567723,0.0,0.4004404845329862,3.013314646110721,0.0,1.1812994293723094,0.0,3.6039643607968763,29.95294824306737,35.48903794173591,6.046651316448092,0.6206827510261286,0.0,15.967564320752825
27,92.72,0.0,0.0,0.94,0.54,2.51,0.2,1.54,0.0,0.0,0.36,0.0,0.0,0.0,27,普通采样,B,高钾,蓝绿,风化,98.81,True,93.83665620888574,0.0,0.0,0.9513207165266673,0.5465033903451068,2.5402287217892923,0.20240866309078032,1.5585467057990081,0.0,0.0,0.3643355935634045,0.0,0.0,0.0
28未风化点,68.08,0.0,0.26,1.34,1.0,4.7,0.41,0.33,17.14,4.04,1.04,0.12,0.23,0.0,28,未风化,A,铅钡,浅蓝,风化,98.69000000000001,True,68.9836862904043,0.0,0.26345121086229606,1.3577870098287566,1.0132738879319079,4.762387273279967,0.4154422940520822,0.3343803830175296,17.367514439152902,4.093626507244908,1.0538048434491842,0.12159286655182894,0.23305299422433884,0.0
29未风化点,63.3,0.92,0.3,2.98,1.49,14.34,0.81,0.74,12.31,2.03,0.41,0.25,0.0,0.0,29,未风化,A,铅钡,浅蓝,风化,99.88,True,63.37605126151382,0.9211053263916701,0.30036043251902284,2.9835802963556266,1.4917901481778133,14.357228674409292,0.8109731678013617,0.7408890668802564,12.324789747697237,2.032438926712054,0.4104925911093312,0.250300360432519,0.0,0.0
30部位1,34.34,0.0,1.41,4.49,0.98,4.35,2.12,0.0,39.22,10.29,0.0,0.35,0.4,0.0,30,部位采样,A,铅钡,深蓝,无风化,97.94999999999999,True,35.05870342011231,0.0,1.439509954058193,4.5839714139867285,1.0005104645227156,4.44104134762634,2.1643695763144466,0.0,40.04083716181726,10.505359877488516,0.0,0.3573251659009699,0.4083716181725371,0.0
30部位2,36.93,0.0,0.0,4.24,0.51,3.86,2.74,0.0,37.74,10.35,1.41,0.48,0.44,0.0,30,部位采样,A,铅钡,深蓝,无风化,98.7,True,37.41641337386018,0.0,0.0,4.295845997973657,0.5167173252279635,3.910840932117528,2.7760891590678827,0.0,38.237082066869306,10.486322188449847,1.4285714285714286,0.486322188449848,0.44579533941236066,0.0
31,65.91,0.0,0.0,1.6,0.89,3.11,4.59,0.44,16.55,3.42,1.62,0.3,0.0,0.0,31,普通采样,C,铅钡,紫,无风化,98.42999999999999,True,66.9612922889363,0.0,0.0,1.6255206745910804,0.9041958752412883,3.1596058112364114,4.66321243523316,0.4470181855125471,16.813979477801485,3.4745504419384337,1.6458396830234687,0.3047851264858275,0.0,0.0
32,69.71,0.0,0.21,0.46,0.0,2.36,1.0,0.11,19.76,4.88,0.17,0.0,0.0,0.0,32,普通采样,C,铅钡,浅绿,无风化,98.66,True,70.65680113521184,0.0,0.21285221974457733,0.46624771944050275,0.0,2.3920535171295354,1.0135819987837016,0.11149401986620719,20.028380295965945,4.946280154064464,0.17230893979322928,0.0,0.0,0.0
33,75.51,0.0,0.15,0.64,1.0,2.35,0.0,0.47,16.16,3.55,0.13,0.0,0.0,0.0,33,普通采样,C,铅钡,深绿,无风化,99.96,True,75.54021608643458,0.0,0.15006002400960386,0.6402561024409764,1.0004001600640255,2.3509403761504606,0.0,0.47018807523009204,16.166466586634655,3.5514205682272912,0.13005202080832334,0.0,0.0,0.0
34,35.78,0.0,0.25,0.78,0.0,1.62,0.47,1.51,46.55,10.0,0.34,0.22,0.0,0.0,34,普通采样,C,铅钡,深绿,风化,97.52000000000001,True,36.68990976210008,0.0,0.25635767022149303,0.7998359310910582,0.0,1.661197703035275,0.4819524200164068,1.5484003281378178,47.733798195241995,10.25430680885972,0.34864643150123054,0.22559474979491384,0.0,0.0
35,65.91,0.0,0.0,0.38,0.0,1.44,0.17,0.16,22.05,5.68,0.42,0.0,0.0,0.0,35,普通采样,C,铅钡,浅绿,无风化,96.21,True,68.50639226691612,0.0,0.0,0.3949693379066625,0.0,1.4967259120673526,0.17669680906350693,0.16630287911859476,22.91861552853134,5.903752208710113,0.4365450576863112,0.0,0.0,0.0
36,39.57,2.22,0.14,0.37,0.0,1.6,0.32,0.68,41.61,10.83,0.07,0.22,0.0,0.0,36,普通采样,C,铅钡,深绿,风化,97.62999999999998,True,40.53057461845745,2.2738912219604637,0.14339854552903825,0.3789818703267439,0.0,1.6388405203318654,0.32776810406637313,0.6965072211410429,42.62009628188058,11.092901771996315,0.07169927276451912,0.22534057154563153,0.0,0.0
37,60.12,0.0,0.23,0.89,0.0,2.72,0.0,3.01,17.24,10.34,1.46,0.31,0.0,3.66,37,普通采样,C,铅钡,深绿,无风化,99.97999999999999,True,60.13202640528106,0.0,0.2300460092018404,0.8901780356071216,0.0,2.720544108821765,0.0,3.010602120424085,17.243448689737946,10.342068413682737,1.4602920584116825,0.31006201240248055,0.0,3.660732146429287
38,32.93,1.38,0.0,0.68,0.0,2.57,0.29,0.73,49.31,9.79,0.48,0.41,0.0,0.0,38,普通采样,C,铅钡,深绿,风化,98.57000000000001,True,33.407730546819515,1.4000202901491323,0.0,0.6898650705082683,0.0,2.6072841635386017,0.2942071624226438,0.7405904433397584,50.02536268641574,9.9320280004058,0.4869635791823069,0.41594805721822053,0.0,0.0
39,26.25,0.0,0.0,1.11,0.0,0.5,0.0,0.88,61.03,7.22,1.16,0.61,0.0,0.0,39,普通采样,C,铅钡,深绿,风化,98.75999999999999,True,26.579586877278256,0.0,0.0,1.123936816524909,0.0,0.5062778452814904,0.0,0.8910490076954233,61.79627379505873,7.3106520858647235,1.174564601053058,0.6176589712434184,0.0,0.0
40,16.71,0.0,0.0,1.87,0.0,0.45,0.19,0.0,70.21,6.69,1.77,0.68,0.0,0.0,40,普通采样,C,铅钡,,风化,98.57,True,16.952419600284063,0.0,0.0,1.8971289438977377,0.0,0.4565283554834128,0.1927564167596632,0.0,71.2285685299787,6.787054884853405,1.7956781982347574,0.6898650705082683,0.0,0.0
41,18.46,0.0,0.44,4.96,2.73,3.33,1.79,0.19,44.12,9.76,7.46,0.47,0.0,0.0,41,普通采样,C,铅钡,浅绿,风化,93.71,True,19.699071603884327,0.0,0.4695336676982179,5.292924981325366,2.913242983673034,3.553516166897877,1.910148329954114,0.20275317468786683,47.08142140646676,10.415110447124107,7.960729911428876,0.50154732685946,0.0,0.0
42未风化点1,51.26,5.74,0.15,0.79,1.09,3.53,0.0,2.67,21.88,10.47,0.08,0.35,0.0,0.0,42,未风化,A,铅钡,浅蓝,风化,98.00999999999999,True,52.300785634118974,5.856545250484645,0.15304560759106214,0.8060401999795941,1.1121314151617185,3.6016732986429956,0.0,2.7242118151209063,22.32425262728293,10.68258340985614,0.08162432404856648,0.3571064177124783,0.0,0.0
42未风化点2,51.33,5.68,0.35,0.0,1.16,5.66,0.0,2.72,20.12,10.88,0.0,0.0,0.0,0.0,42,未风化,A,铅钡,浅蓝,风化,97.9,True,52.43105209397344,5.8018386108273745,0.3575076608784473,0.0,1.1848825331971398,5.781409601634321,0.0,2.778345250255363,20.551583248212463,11.113381001021452,0.0,0.0,0.0,0.0
43部位1,12.41,0.0,0.0,5.24,0.89,2.25,0.76,5.35,59.85,7.29,0.0,0.64,0.0,0.0,43,部位采样,C,铅钡,浅蓝,风化,94.68,True,13.107308829742289,0.0,0.0,5.534431770173215,0.9400084495141527,2.376425855513308,0.8027038445289396,5.650612589776087,63.21292775665399,7.699619771863117,0.0,0.6759611322348965,0.0,0.0
43部位2,21.7,0.0,0.0,6.4,0.95,3.41,1.39,1.51,44.75,3.26,12.83,0.47,0.0,0.0,43,部位采样,C,铅钡,浅蓝,风化,96.67,True,22.447501810282404,0.0,0.0,6.620461363401263,0.9827247336298748,3.5274645701872354,1.4378814523637116,1.5620151029274851,46.29150718940726,3.3722975069825174,13.271956139443466,0.4861901313747801,0.0,0.0
44未风化点,60.74,3.06,0.2,2.14,0.0,12.69,0.77,0.43,13.61,5.22,0.0,0.26,0.0,0.0,44,未风化,A,铅钡,浅蓝,风化,99.12,True,61.279257465698144,3.0871670702179177,0.20177562550443903,2.158999192897498,0.0,12.802663438256657,0.7768361581920904,0.4338175948345439,13.730831315577078,5.266343825665859,0.0,0.2623083131557708,0.0,0.0
45,61.28,2.66,0.11,0.84,0.74,5.0,0.0,0.53,15.99,10.96,0.0,0.23,0.0,0.0,45,普通采样,A,铅钡,浅蓝,无风化,98.33999999999999,True,62.31441936139923,2.7049013626194838,0.11185682326621926,0.8541793776693106,0.7524913565182022,5.084401057555421,0.0,0.5389465121008746,16.259914582062233,11.145007118161484,0.0,0.23388244864754934,0.0,0.0
46,55.21,0.0,0.25,0.0,1.67,4.79,0.0,0.77,25.25,10.06,0.2,0.43,0.0,0.0,46,普通采样,A,铅钡,浅蓝,无风化,98.63000000000001,True,55.9768833012268,0.0,0.2534725742674643,0.0,1.6931967961066612,4.856534522964615,0.0,0.7806955287437899,25.60073000101389,10.19973638852276,0.2027780594139714,0.4359728277400385,0.0,0.0
47,51.54,4.66,0.29,0.87,0.61,3.06,0.0,0.65,25.4,9.23,0.1,0.85,0.0,0.0,47,普通采样,A,铅钡,浅蓝,无风化,97.25999999999999,True,52.99198025909932,4.791281102200289,0.29816985399958873,0.8945095619987662,0.6271848653094798,3.146206045650833,0.0,0.6683117417232162,26.1155665227226,9.49002673246967,0.10281719103434096,0.873946123791898,0.0,0.0
48,53.33,0.8,0.32,2.82,1.54,13.65,1.03,0.0,15.71,7.31,1.1,0.25,1.31,0.0,48,普通采样,A,铅钡,,风化,99.16999999999999,True,53.77634365231422,0.8066955732580419,0.32267822930321677,2.843601895734597,1.5528889785217306,13.764243218715338,1.0386205505697288,0.0,15.841484319854798,7.371180800645356,1.1092064132298076,0.25209236664313805,1.3209640012100434,0.0
49,28.79,0.0,0.0,4.58,1.47,5.38,2.74,0.7,34.18,6.1,11.1,0.46,0.0,0.0,49,普通采样,A,铅钡,黑,风化,95.49999999999999,True,30.14659685863875,0.0,0.0,4.795811518324608,1.5392670157068065,5.633507853403142,2.8691099476439796,0.7329842931937174,35.790575916230374,6.387434554973822,11.623036649214662,0.48167539267015713,0.0,0.0
49未风化点,54.61,0.0,0.3,2.08,1.2,6.5,1.27,0.45,23.02,4.19,4.32,0.3,0.0,0.0,49,未风化,A,铅钡,黑,风化,98.24,True,55.58835504885994,0.0,0.30537459283387625,2.1172638436482085,1.221498371335505,6.616449511400652,1.2927524429967427,0.45806188925081437,23.432410423452772,4.265065146579805,4.397394136807818,0.30537459283387625,0.0,0.0
50,17.98,0.0,0.0,3.19,0.47,1.87,0.33,1.13,44.0,14.2,6.34,0.66,0.0,0.0,50,普通采样,A,铅钡,黑,风化,90.17,True,19.940113119662858,0.0,0.0,3.5377620051014746,0.5212376621936342,2.0738604857491403,0.36597537983808365,1.2531884218698013,48.79671731174448,15.748031496062993,7.031163358101364,0.7319507596761673,0.0,0.0
50未风化点,45.02,0.0,0.0,3.12,0.54,4.16,0.0,0.7,30.61,6.22,6.34,0.23,0.0,0.0,50,未风化,A,铅钡,黑,风化,96.94000000000001,True,46.44109758613575,0.0,0.0,3.2184856612337525,0.5570455952135341,4.291314214978337,0.0,0.72209614194347,31.576232721270888,6.416340004126263,6.5401279141737145,0.23726016092428304,0.0,0.0
51部位1,24.61,0.0,0.0,3.58,1.19,5.25,1.19,1.37,40.24,8.94,8.1,0.39,0.47,0.0,51,部位采样,C,铅钡,浅蓝,风化,95.33,True,25.815587957620895,0.0,0.0,3.7553760621000736,1.248295394943879,5.507185565928879,1.248295394943879,1.4371131857757264,42.2112661281863,9.377950277981748,8.496800587433126,0.4091052134690024,0.49302423161649,0.0
51部位2,21.35,0.0,0.0,5.13,1.45,2.51,0.42,0.75,51.34,0.0,8.75,0.0,0.0,0.0,51,部位采样,C,铅钡,浅蓝,风化,91.7,True,23.282442748091604,0.0,0.0,5.59432933478735,1.5812431842966193,2.7371864776444923,0.45801526717557245,0.8178844056706652,55.986913849509264,0.0,9.541984732824426,0.0,0.0,0.0
52,25.74,1.22,0.0,2.27,0.55,1.16,0.23,0.7,47.42,8.64,5.71,0.44,0.0,0.0,52,普通采样,C,铅钡,浅蓝,风化,94.07999999999998,True,27.359693877551024,1.2967687074829934,0.0,2.4128401360544225,0.584608843537415,1.2329931972789117,0.24447278911564632,0.7440476190476191,50.40391156462586,9.183673469387758,6.0693027210884365,0.46768707482993205,0.0,0.0
53未风化点,63.66,3.04,0.11,0.78,1.14,6.06,0.0,0.54,13.66,8.99,0.0,0.27,0.0,0.0,53,未风化,A,铅钡,浅蓝,风化,98.24999999999999,True,64.79389312977099,3.0941475826972016,0.11195928753180663,0.7938931297709926,1.1603053435114503,6.16793893129771,0.0,0.5496183206106872,13.903307888040715,9.150127226463106,0.0,0.2748091603053436,0.0,0.0
54,22.28,0.0,0.32,3.19,1.28,4.15,0.0,0.83,55.46,7.04,4.24,0.88,0.0,0.0,54,普通采样,C,铅钡,浅蓝,风化,99.66999999999999,True,22.353767432527345,0.0,0.3210594963379152,3.2005618541185914,1.2842379853516608,4.163740343132337,0.0,0.8327480686264673,55.643623959064925,7.063308919434133,4.254038326477376,0.8829136149292667,0.0,0.0
54严重风化点,17.11,0.0,0.0,0.0,1.11,3.65,0.0,1.34,58.46,0.0,14.13,1.12,0.0,0.0,54,严重风化,C,铅钡,浅蓝,风化,96.92,True,17.653735039207593,0.0,0.0,0.0,1.1452744531572432,3.765992571192736,0.0,1.382583574081717,60.31778786628147,0.0,14.579034255055717,1.1555922410235246,0.0,0.0
55,49.01,2.71,0.0,1.13,0.0,1.45,0.0,0.86,32.92,7.95,0.35,0.0,0.0,0.0,55,普通采样,C,铅钡,绿,无风化,96.38000000000001,True,50.85079892093795,2.8117866777339695,0.0,1.1724424154388875,0.0,1.5044615065366256,0.0,0.8923013073251711,34.15646399667981,8.248599294459432,0.36314588088815103,0.0,0.0,0.0
56,29.15,0.0,0.0,1.21,0.0,1.85,0.0,0.79,41.25,15.45,2.54,0.0,0.0,0.0,56,普通采样,C,铅钡,蓝绿,风化,92.24000000000001,True,31.602341717259318,0.0,0.0,1.3117953165654812,0.0,2.005637467476149,0.0,0.8564614050303555,44.72029488291413,16.74978317432784,2.753686036426713,0.0,0.0,0.0
57,25.42,0.0,0.0,1.31,0.0,2.18,0.0,1.16,45.1,17.3,0.0,0.0,0.0,0.0,57,普通采样,C,铅钡,蓝绿,风化,92.47,True,27.489996755704553,0.0,0.0,1.4166756785984644,0.0,2.3575213582783605,0.0,1.2544609062398615,48.77257488915324,18.708770412025522,0.0,0.0,0.0,0.0
58,30.39,0.0,0.34,3.49,0.79,3.52,0.86,3.13,39.35,7.66,8.99,0.24,0.0,0.0,58,普通采样,C,铅钡,,风化,98.75999999999999,True,30.771567436208997,0.0,0.34426893479141357,3.533819360064804,0.7999189955447551,3.564196030781693,0.8707978938841636,3.169299311462131,39.84406642365331,7.756176589712435,9.1028756581612,0.24301336573511545,0.0,0.0
